Enrollment (# of students who started the program),,,,,,,,,,,,,,,,,,
2D Game Dev (after school),N/A,62%,N/A,84%,36%,#REF!,#REF!,,,,,,,,,,,
3D Game Dev,N/A,59%,N/A,81%,38%,#REF!,#REF!,,,,,,,,,,,
Studio,N/A,100%,N/A,99%,-1%,#REF!,#REF!,,,,,,,,,,,
Play Lab,N/A,N/A,N/A,83%,N/A,#REF!,#REF!,,,,,,,,,,,
Total (Game Academy Only),N/A,67%,N/A,81%,22%,#REF!,#REF!,,,,,,,,,,,
* Note: The data will not be final until June 2026 - this shows up to the minute stats on how many are still 'active' in the program. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2D TO 3D > STUDENT RETENTION YEAR TO YEAR,,,,,,,3D TO STUDIO > STUDENT RETENTION YEAR TO YEAR,,,,,,,,,,,
2D Program,# students who finished 2D,# who joined 3D 25/26,# who joined PL or Studio,% who continued,% of 3D program,,Year,# active in 3D previous year,# seniors in 3D previous year,# joined Studio,# joined PL,% of 3D who continued,,,,,,
Summer 2025,#N/A,0,0,#N/A,#N/A,,SY26,78,29,0,0,0%,,,,,,
SY 2024-25,69,0,0,0%,#N/A,,SY25,53,5,20,6,49%,,,,,,
Total,#N/A,0,0,#N/A,,,SY24,38,N/A,19,N/A,50%,,,,,,
,,,% Increase YoY in retention b/t 2D and 2nd-year programs,#N/A,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Core Program,# students in Core,# who joined Adv 24/25,% of core who continued,% of Adv program,,,,,,,,,,,,,,
Summer 2024,89,44,49%,50%,,,,,,,,,,,,,,
SY 2023-2024,71,37,52%,42%,,,,,,,,,,,,,,
Summer 2023,84,7,,8%,,,,,,,,,,,,,,
Total,244,88,51%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Core Program,# students in Core,# who joined Adv 23/24,% of core who continued,% of Adv program,,,,,,,,,,,,,,
Summer 2023,84,34,40%,64%,,,,,,,,,,,,,,
SY 2022-2023,70,19,27%,36%,,,,,,,,,,,,,,
Total,154,53,36%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DEMOGRAPHICS,,,,,,,,,,,,,,,,,,
Grade,Summer 24 (active),n=,SY2024-25 (active),n=,Summer 25 (active),n=,SY2025-26 (active),n=,,,,,,,,,,
9th,0,0,15%,28,#REF!,0,#DIV/0!,0,,,,,,,,,,
10th,35%,35,38%,63,#REF!,0,#DIV/0!,0,,,,,,,,,,
11th,37%,38,46%,88,#REF!,0,#DIV/0!,0,,,,,,,,,,
12th,37%,35,24%,46,#REF!,0,#DIV/0!,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Disability,SY2023-24 (enrolled),n=,Summer 24 (enrolled),n=,Summer 24 (active),n=,SY2024-25 (enrolled),n=,SY2024-25 (active),n=,Summer 25 (enrolled),n=,Summer 25 (active),n=,SY2025-26 (enrolled),n=,SY2025-26 (active),n=
Yes,7%,10,26%,31,27%,29,25%,69,25%,57,#REF!,#REF!,#N/A,0,#N/A,1,#N/A,0
No / Unknown,93%,132,74%,87,73%,79,75%,208,75%,168,#REF!,#REF!,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,,,,,,,,
